dataset,cell_type,gene_set,k,n_cells,max_rank,median_detected,depth_ratio,tie_break_inclusion,mean_tie_break,mean_detected_part,mean_total,score_tie_break_share
gse161529,0,BIOCARTA_CDC42RAC_PATHWAY,8,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.0111421996124031,0.09282966234347048,0.10397186195587359,0.10716552923840039
gse161529,0,BIOCARTA_CDK5_PATHWAY,13,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011290984358515666,0.026090592174670885,0.03738157653318654,0.30204676756989574
gse161529,0,BIOCARTA_CDMAC_PATHWAY,16,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01120778361657722,0.051743366129994035,0.06295114974657126,0.17803937913282786
gse161529,0,BIOCARTA_CELL2CELL_PATHWAY,12,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012425275790101373,0.013966346153846154,0.02639162194394753,0.47080379585957577
gse161529,0,BIOCARTA_CELLCYCLE_PATHWAY,23,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012260273262295505,0.018174263047367193,0.030434536309662696,0.4028408101096312
gse161529,0,BIOCARTA_CERAMIDE_PATHWAY,21,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012171806229945764,0.018287410909503934,0.0304592171394497,0.3996099497311529
gse161529,0,BIOCARTA_CFTR_PATHWAY,10,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012123553965414431,0.022816920095408467,0.0349404740608229,0.3469773748435771
gse161529,0,BIOCARTA_CHEMICAL_PATHWAY,18,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012022916252567416,0.022614117471675608,0.034637033724243024,0.3471116016540522
gse161529,0,BIOCARTA_CHREBP_PATHWAY,19,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012418133885698143,0.027159730722154225,0.03957786460785236,0.31376462597818755
gse161529,0,BIOCARTA_CIRCADIAN_PATHWAY,5,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011683064997018487,0.01341684555754323,0.025099910554561716,0.46546241555809764
gse161529,0,BIOCARTA_CK1_PATHWAY,16,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012179403324388789,0.017488791368515205,0.029668194692903993,0.41052054061455395
gse161529,0,BIOCARTA_CLASSIC_PATHWAY,14,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012078743930488117,0.0012326326774001193,0.013311376607888234,0.907400059835309
gse161529,0,BIOCARTA_COMP_PATHWAY,19,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011971149923108307,0.008723425289520761,0.020694575212629067,0.578468018797641
gse161529,0,BIOCARTA_CPSF_PATHWAY,10,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012150149075730471,0.02383722420989863,0.03598737328562911,0.33762255942648667
gse161529,0,BIOCARTA_CREB_PATHWAY,22,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011996435734807827,0.02916646338157966,0.041162899116387486,0.2914380666164471
gse161529,0,BIOCARTA_CREM_PATHWAY,6,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011767988471476844,0.009166120055654939,0.020934108527131783,0.5621442372969868
gse161529,0,BIOCARTA_CSK_PATHWAY,20,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012205008944543827,0.011079807692307693,0.023284816636851516,0.524161694502145
gse161529,0,BIOCARTA_CTBP1_PATHWAY,8,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012059220333929638,0.052041648032200356,0.06410086836613,0.18812881387269256
gse161529,0,BIOCARTA_CTCF_PATHWAY,24,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012255751838600674,0.014553629994036971,0.026809381832637647,0.45714414137220294
gse161529,0,BIOCARTA_CTLA4_PATHWAY,20,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012604248658318426,0.008247793679189028,0.020852042337507454,0.6044611100585878
gse161529,0,BIOCARTA_CTL_PATHWAY,13,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012112219622953075,0.037021960001834775,0.049134179624787847,0.2465131139961589
gse161529,0,BIOCARTA_CXCR4_PATHWAY,19,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011928631955559741,0.01219277061168126,0.024121402567240997,0.4945248072663851
gse161529,0,BIOCARTA_CYTOKINE_PATHWAY,19,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01224570034208957,0.0012047280544832564,0.013450428396572827,0.910431993765327
gse161529,0,BIOCARTA_D4GDI_PATHWAY,12,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.0118907274895647,0.04074665821904194,0.052637385708606634,0.22589889922326578
gse161529,0,BIOCARTA_DC_PATHWAY,17,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01224171314321793,0.0005848240906380441,0.012826537233855977,0.9544051461454157
gse161529,0,BIOCARTA_DEATH_PATHWAY,29,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012518146114778032,0.02062641621943948,0.03314456233421751,0.37768325279271076
gse161529,0,BIOCARTA_DICER_PATHWAY,5,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012208079904591534,0.012117382230172927,0.024325462134764463,0.5018642538817173
gse161529,0,BIOCARTA_DNAFRAGMENT_PATHWAY,10,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011909630292188432,0.04696601073345259,0.05887564102564103,0.20228451163702232
gse161529,0,BIOCARTA_DREAM_PATHWAY,13,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.01137940920141278,0.060182032934269075,0.07156144213568184,0.1590159289947959
gse161529,0,BIOCARTA_DSP_PATHWAY,9,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.012318906115417742,0.02054030013913735,0.03285920625455509,0.3748996862548998
gse161529,0,BIOCARTA_ECM_PATHWAY,19,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011241832219188402,0.04703573894485767,0.05827757116404607,0.1929015227409472
gse161529,0,BIOCARTA_EDG1_PATHWAY,22,4000,1677,452.5,3.7060773480662985,0.03451518842375872,0.011720726947471134,0.03516850978478885,0.04688923673225999,0.24996625588932278
